,BlockBk_ID,Final_Prioity_Score,OSDS_count,Soil_Suitability_Rank,SLR_Rank,WELLCZ_Rank,dist2_coast_m_Rank,dist2_Strm_Wtlnd_m_Rank,rainfall_in_Rank,dist2_MunWells_m_Rank,dist2_DomWells_m_Rank,Dep_to_Water_m_Rank,OSDS_Density_perAcre_Rank,Swim_beach_Rank,UserDays_Rank,Fish_Rank,Coral_Rank,Wave_pwr_Rank,CESSPOOL_Density_perAcre_Rank,In_2017_CP_zone,Final_Cat_Ranking,Fin_Rank
3045,18372,22.591771424276544,11,22.388333333333325,0.0,0.0,16.15554827779365,18.796221787440203,18.77767101266017,9.01400550648877,20.6196219633895,17.01849078607658,60.28840667159498,0.0,4.41044104410441,45.0,21.0,7.999602405543095,100.0,0.0,Low,3.0
3053,18424,29.60262588523256,61,23.208036690085862,0.0,49.18032786885246,9.727018221798012,24.656982439467296,20.47755397959971,28.98661594938537,17.013895229078937,17.33941881162546,24.13945940332832,21.311475409836067,84.64534978087976,58.967213114754095,21.639344262295083,28.14841853048021,44.20090447225442,1.0,Medium,2.0
3059,18440,21.525778184682252,17,25.372647058823528,0.0,0.0,8.875221434733257,20.800491796245808,18.880828381523934,66.21476576277685,12.749270244978973,11.199171339332931,59.75396929754168,0.0,24.752475247524757,33.0,0.0,40.74970495055049,22.063905440883826,1.0,Low,3.0
3060,18441,35.26914852062541,22,32.750595238095244,93.9090909090909,0.0,94.22189588079776,13.691711923211331,30.21638341249194,5.678777135330263,6.192749719737745,99.16463956885326,12.387028652688109,0.0,45.499549954995494,66.0,0.0,43.59085918770113,21.00309474701335,1.0,High,1.0
3064,18459,22.373472125316802,43,23.00461240310077,0.0,0.0,6.648148707116833,25.035758120497945,18.577947114939427,19.49413028447624,31.27187057771921,28.23569186534182,28.857224987376746,0.0,55.44554455445544,66.0,0.0,23.2168552599716,32.18777013007277,1.0,Low,3.0
3070,18474,40.90532271305691,11,27.72166666666666,100.0,0.0,78.67212675370807,9.453341541007404,54.71032150771221,16.305641163114135,9.560552785731401,100.0,55.74568557739874,0.0,12.871287128712877,100.0,0.0,44.275379738198986,45.16916054666,0.0,High,1.0
3082,18510,19.86021446584478,27,21.86130511463844,3.7037037037037037,0.0,28.864497598419764,58.605673579296266,19.994964548902345,5.888042936747329,59.27182851192671,31.882850412089685,10.291427932880797,0.0,8.287495416208285,53.77777777777778,0.0,10.54756934407404,4.786294576851423,0.0,Low,3.0
3091,18571,29.882075442801675,12,23.28208333333333,0.0,37.5,6.946968762375895,42.55070469908003,18.005574374905724,10.385729849316759,15.50107399650109,42.02744706790856,17.876150782765126,8.333333333333334,97.35973597359737,66.0,33.0,28.604953735192623,30.739451176517054,1.0,Medium,2.0
3094,18583,28.903724865146014,11,28.61857142857143,0.0,0.0,15.023218536657568,47.1134297286284,24.569005461060318,12.931997440847313,5.617989416564829,29.29445219079976,30.030635332796916,0.0,100.0,66.0,0.0,40.17839449103263,63.08190381537701,1.0,Medium,2.0
3097,18621,35.957674267301144,31,26.861451612903238,6.387096774193548,0.0,44.00400777828487,21.665749701205435,55.683359071640645,15.440905791803184,13.21828027563147,82.24733239722133,51.50127525805195,12.903225806451612,23.155541360587666,100.0,0.0,31.896000166155275,90.35856228268796,0.0,High,1.0
