,Uid,In_WellCZ_C
889,-155.83103_19.82103,True
890,-155.83064_19.82056,True
891,-155.83207_19.81769,True
892,-155.83209_19.81845,True
893,-155.83275_19.81835,True
894,-155.83398_19.81823,True
895,-155.83145_19.82031,True
896,-155.83113_19.81989,True
897,-155.83581_19.81662,True
898,-155.83552_19.81710,True
899,-155.83525_19.81760,True
900,-155.83479_19.81804,True
901,-155.83266_19.81921,True
902,-155.83309_19.81974,True
903,-155.83375_19.82013,True
904,-155.83423_19.82060,True
905,-155.83758_19.81283,True
906,-155.83668_19.81434,True
907,-155.83738_19.81536,True
908,-155.83642_19.81485,True
909,-155.83716_19.81585,True
910,-155.83833_19.81664,True
911,-155.83822_19.81790,True
912,-155.83794_19.81833,True
913,-155.83746_19.81865,True
914,-155.83695_19.81893,True
915,-155.83640_19.81885,True
916,-155.83573_19.81878,True
917,-155.83515_19.81865,True
918,-155.83462_19.81889,True
919,-155.83408_19.81912,True
920,-155.83596_19.81783,True
921,-155.83123_19.81861,True
922,-155.83144_19.81906,True
923,-155.83144_19.81553,True
924,-155.83179_19.81502,True
925,-155.84184_19.81564,True
926,-155.84234_19.81596,True
